Longitude,Latitude,annee,diplome,NameOfUni,academie,domaine,discipline,situation,nombre_de_reponses,taux_de_reponse,poids_de_la_discipline,taux_dinsertion,emplois_cadre_ou_professions_intermediaires,emplois_stables,emplois_a_temps_plein,salaire_net_median_des_emplois_a_temps_plein,salaire_brut_annuel_estime,de_diplomes_boursiers,taux_de_chomage_regional,salaire_net_mensuel_median_regional,emplois_cadre,emplois_exterieurs_a_la_region_de_luniversite,femmes,salaire_net_mensuel_regional_1er_quartile,salaire_net_mensuel_regional_3eme_quartile
2.586253,48.840109,2013,MASTER LMD,Paris-Est Marne-la-Vallée France,Créteil,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,189,72,38,89,77,79,97,2090,32600,13,8.8,2070,51,14,68,1630,2580
2.586253,48.840109,2013,MASTER LMD,Paris-Est Marne-la-Vallée France,Créteil,Sciences humaines et sociales,Ensemble sciences humaines et sociales,18 mois après le diplôme,129,77,24,74,88,65,91,1880,29300,13,8.8,2070,66,26,56,1630,2580
2.586253,48.840109,2013,MASTER LMD,Paris-Est Marne-la-Vallée France,Créteil,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,129,77,24,92,88,70,97,2000,31200,13,8.8,2070,56,26,56,1630,2580
,,2013,MASTER ENS,Versailles Saint-Quentin-en-Yvelines France,Versailles,Masters enseignement,Masters enseignement,30 mois après le diplôme,28,66,100,ns,ns,ns,ns,ns,,,8.8,2070,ns,ns,ns,1630,2580
,,2013,MASTER LMD,Versailles Saint-Quentin-en-Yvelines France,Versailles,"Droit, économie et gestion",Droit,18 mois après le diplôme,52,58,11,92,94,53,98,1930,30000,7,8.8,2070,72,22,66,1630,2580
,,2013,MASTER LMD,Versailles Saint-Quentin-en-Yvelines France,Versailles,"Droit, économie et gestion",Économie,18 mois après le diplôme,79,69,17,84,86,56,94,2000,31200,7,8.8,2070,60,29,50,1630,2580
,,2013,MASTER LMD,Versailles Saint-Quentin-en-Yvelines France,Versailles,"Droit, économie et gestion",Gestion,30 mois après le diplôme,178,49,40,90,94,80,97,2150,33500,7,8.8,2070,70,13,70,1630,2580
,,2013,MASTER LMD,Versailles Saint-Quentin-en-Yvelines France,Versailles,Sciences humaines et sociales,Information communication,30 mois après le diplôme,12,54,2,ns,ns,ns,ns,ns,,7,8.8,2070,ns,ns,ns,1630,2580
,,2013,MASTER LMD,Versailles Saint-Quentin-en-Yvelines France,Versailles,Sciences humaines et sociales,Autres sciences humaines et sociales,18 mois après le diplôme,15,70,3,ns,ns,ns,ns,ns,,7,8.8,2070,ns,ns,ns,1630,2580
,,2013,MASTER LMD,Versailles Saint-Quentin-en-Yvelines France,Versailles,"Sciences, technologies et santé",Informatique,18 mois après le diplôme,47,59,10,98,100,91,100,2250,35100,7,8.8,2070,92,18,4,1630,2580
,,2013,MASTER LMD,Versailles Saint-Quentin-en-Yvelines France,Versailles,"Sciences, technologies et santé",Informatique,30 mois après le diplôme,47,59,10,94,100,98,100,2490,38900,7,8.8,2070,97,18,4,1630,2580
,,2013,MASTER LMD,Amiens - Picardie Jules-Verne France,Amiens,"Droit, économie et gestion",Économie,18 mois après le diplôme,23,61,9,ns,ns,ns,ns,ns,,27,12.4,1830,ns,ns,ns,1480,2160
,,2013,MASTER LMD,Amiens - Picardie Jules-Verne France,Amiens,"Lettres, langues, arts","Lettres, langues, arts",30 mois après le diplôme,36,67,11,92,70,67,94,ns,,27,12.4,1830,51,33,89,1480,2160
,,2013,MASTER LMD,Amiens - Picardie Jules-Verne France,Amiens,Sciences humaines et sociales,Histoire-géographie,30 mois après le diplôme,5,100,2,ns,ns,ns,ns,ns,,27,12.4,1830,ns,ns,ns,1480,2160
,,2013,MASTER LMD,Amiens - Picardie Jules-Verne France,Amiens,Sciences humaines et sociales,Psychologie,30 mois après le diplôme,37,73,12,95,94,63,82,ns,,27,12.4,1830,85,34,89,1480,2160
,,2013,MASTER LMD,Amiens - Picardie Jules-Verne France,Amiens,Sciences humaines et sociales,Information communication,18 mois après le diplôme,39,50,13,97,95,78,100,1890,29500,27,12.4,1830,75,47,17,1480,2160
,,2013,MASTER LMD,Amiens - Picardie Jules-Verne France,Amiens,Sciences humaines et sociales,Information communication,30 mois après le diplôme,39,50,13,100,92,79,100,2080,32400,27,12.4,1830,71,47,17,1480,2160
,,2013,MASTER LMD,Amiens - Picardie Jules-Verne France,Amiens,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,85,61,28,94,83,59,91,1700,26500,27,12.4,1830,36,46,46,1480,2160
,,2013,MASTER LMD,Amiens - Picardie Jules-Verne France,Amiens,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,85,61,28,92,88,72,95,1800,28100,27,12.4,1830,47,46,46,1480,2160
,,2013,MASTER LMD,Amiens - Picardie Jules-Verne France,Amiens,"Sciences, technologies et santé",Sciences de la vie et de la terre,18 mois après le diplôme,29,49,10,ns,ns,ns,ns,ns,,27,12.4,1830,ns,ns,ns,1480,2160
,,2013,MASTER LMD,Amiens - Picardie Jules-Verne France,Amiens,"Sciences, technologies et santé",Sciences de l'ingénieur,30 mois après le diplôme,24,78,8,ns,ns,ns,ns,ns,,27,12.4,1830,ns,ns,ns,1480,2160
2.1388672,43.9194985,2013,MASTER LMD,Institut national universitaire Jean-François Champollion France,Toulouse,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,31,88,88,74,ns,ns,ns,ns,,36,11.9,1820,ns,ns,77,1460,2150
2.1388672,43.9194985,2013,MASTER LMD,Institut national universitaire Jean-François Champollion France,Toulouse,Sciences humaines et sociales,Histoire-géographie,18 mois après le diplôme,6,80,17,ns,ns,ns,ns,ns,,36,11.9,1820,ns,ns,ns,1460,2150
2.1388672,43.9194985,2013,MASTER LMD,Institut national universitaire Jean-François Champollion France,Toulouse,Sciences humaines et sociales,Histoire-géographie,30 mois après le diplôme,6,80,17,ns,ns,ns,ns,ns,,36,11.9,1820,ns,ns,ns,1460,2150
2.1388672,43.9194985,2013,MASTER LMD,Institut national universitaire Jean-François Champollion France,Toulouse,Sciences humaines et sociales,Autres sciences humaines et sociales,30 mois après le diplôme,15,89,43,ns,ns,ns,ns,ns,,36,11.9,1820,ns,ns,ns,1460,2150
6.018688,43.136473,2013,MASTER ENS,Toulon - Sud Toulon Var France,Nice,Masters enseignement,Masters enseignement,18 mois après le diplôme,11,82,100,ns,ns,ns,ns,ns,,,11.4,1840,ns,ns,ns,1430,2210
6.018688,43.136473,2013,MASTER ENS,Toulon - Sud Toulon Var France,Nice,Masters enseignement,Masters enseignement,30 mois après le diplôme,11,82,100,ns,ns,ns,ns,ns,,,11.4,1840,ns,ns,ns,1430,2210
