Longitude;Latitude;annee;diplome;NameOfUni;academie;domaine;discipline;situation;nombre_de_reponses;taux_de_reponse;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile
3.5125827;50.323558;2010;MASTER LMD;Valenciennes_Hainaut_Cambresis_;Lille;Sciences humaines et sociales;Information communication;30 mois après le diplôme;26;85;0;ns;ns;ns;ns;;33;14;1760;nd;nd;nd;;
3.5125827;50.323558;2010;MASTER LMD;Valenciennes_Hainaut_Cambresis_;Lille;Sciences, technologies et santé;Informatique;30 mois après le diplôme;36;89;92;91;94;97;ns;;33;14;1760;nd;nd;nd;;
3.138063;50.609049;2010;MASTER LMD;Lille_1_Sciences_technologies_;Lille;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;124;92;90;88;66;96;1730;26900;28;14;1760;nd;nd;nd;;
3.138063;50.609049;2010;MASTER LMD;Lille_1_Sciences_technologies_;Lille;Sciences, technologies et santé;Informatique;30 mois après le diplôme;63;97;100;100;97;100;2120;33000;28;14;1760;nd;nd;nd;;
3.0751371;50.63166;2010;MASTER LMD;Lille_2_Droit_et_sante_;Lille;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;341;62;94;93;83;99;2000;31200;26;14;1760;nd;nd;nd;;
3.0751371;50.63166;2010;MASTER LMD;Lille_2_Droit_et_sante_;Lille;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;45;85;91;80;61;100;1700;26500;26;14;1760;nd;nd;nd;;
3.1263292;50.6275863;2010;MASTER LMD;Lille_3_Charles_de_Gaulle_;Lille;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;35;90;94;91;79;91;ns;;38;14;1760;nd;nd;nd;;
3.1263292;50.6275863;2010;MASTER LMD;Lille_3_Charles_de_Gaulle_;Lille;Lettres, langues, arts;Lettres, langues, arts;30 mois après le diplôme;147;80;88;81;67;86;1550;24200;38;14;1760;nd;nd;nd;;
3.1263292;50.6275863;2010;MASTER LMD;Lille_3_Charles_de_Gaulle_;Lille;Sciences humaines et sociales;Autres sciences humaines et sociales;30 mois après le diplôme;41;88;95;66;49;82;1450;22600;38;14;1760;nd;nd;nd;;
2.373088;51.0401889;2010;MASTER LMD;Littoral_Cote_d'Opale_;Lille;Sciences, technologies et santé;Sciences fondamentales;30 mois après le diplôme;11;79;0;ns;ns;ns;ns;;20;14;1760;nd;nd;nd;;
3.08794;45.77059;2010;MASTER LMD;Clermont_Ferrand_1_Auvergne_;Clermont-Ferrand;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;189;79;99;75;77;97;1820;28300;34;9.3;1690;nd;nd;nd;;
3.08794;45.77059;2010;MASTER LMD;Clermont_Ferrand_1_Auvergne_;Clermont-Ferrand;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;1;50;0;ns;ns;ns;ns;;34;9.3;1690;nd;nd;nd;;
3.0878597;45.7783527;2010;MASTER LMD;Clermont_Ferrand_2_Blaise_Pascal_;Clermont-Ferrand;Droit, économie et gestion;Économie;30 mois après le diplôme;51;72;92;77;66;94;1890;29500;41;9.3;1690;nd;nd;nd;;
3.0878597;45.7783527;2010;MASTER LMD;Clermont_Ferrand_2_Blaise_Pascal_;Clermont-Ferrand;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;8;67;0;ns;ns;ns;ns;;41;9.3;1690;nd;nd;nd;;
-0.365641;43.3150753;2010;MASTER LMD;Pau_Pays_de_l'Adour_;Bordeaux;Droit, économie et gestion;Droit;30 mois après le diplôme;51;93;86;64;66;89;1500;23400;33;10.2;1680;nd;nd;nd;;
-0.365641;43.3150753;2010;MASTER LMD;Pau_Pays_de_l'Adour_;Bordeaux;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;144;95;84;89;76;95;1900;29600;33;10.2;1680;nd;nd;nd;;
-0.365641;43.3150753;2010;MASTER LMD;Pau_Pays_de_l'Adour_;Bordeaux;Sciences, technologies et santé;Informatique;30 mois après le diplôme;22;93;0;ns;ns;ns;ns;;33;10.2;1680;nd;nd;nd;;
-0.365641;43.3150753;2010;MASTER LMD;Pau_Pays_de_l'Adour_;Bordeaux;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;24;96;0;ns;ns;ns;ns;;33;10.2;1680;nd;nd;nd;;
2.8948332;42.6886591;2010;MASTER LMD;Perpignan_;Montpellier;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;71;54;95;76;76;100;1850;28900;36;14.3;1650;nd;nd;nd;;
2.8948332;42.6886591;2010;MASTER LMD;Perpignan_;Montpellier;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;25;81;0;ns;ns;ns;ns;;36;14.3;1650;nd;nd;nd;;
